_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_useful_is_comment_1_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better,how_useful_is_comment_2_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better,how_useful_is_comment_3_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better,how_useful_is_comment_4_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better,how_useful_is_comment_5_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better,how_useful_is_comment_1_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better_gold,how_useful_is_comment_2_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better_gold,how_useful_is_comment_3_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better_gold,how_useful_is_comment_4_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better_gold,how_useful_is_comment_5_for_this_picture_eg_1_is_blankgibberish_and_5_is_the_font_is_better_gold,img_comment1,img_comment2,img_comment3,img_comment4,img_comment5,img_id,img_url
940411389,4/26/2016 03:18:00,1968838255,4/26/2016 03:17:37,false,neodev,1.0,35002805,VNM,44,Hanoi,115.76.186.79,3,3,3,3,3,,,,,,af,good image,Is more cool,Is Bether,better readable,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411389,4/26/2016 03:22:12,1968840604,4/26/2016 03:20:42,false,clixsense,1.0,26312996,IDN,30,Bandung,36.72.184.123,4,3,3,4,3,,,,,,af,good image,Is more cool,Is Bether,better readable,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411389,4/26/2016 03:23:17,1968841340,4/26/2016 03:22:08,false,clixsense,1.0,24287706,TWN,03,Taipei,175.184.246.138,1,4,3,2,4,,,,,,af,good image,Is more cool,Is Bether,better readable,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411389,4/26/2016 03:23:18,1968841379,4/26/2016 03:20:23,false,clixsense,1.0,36353086,IDN,04,Jakarta,115.178.214.49,2,3,3,3,3,,,,,,af,good image,Is more cool,Is Bether,better readable,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411389,4/26/2016 03:25:23,1968842545,4/26/2016 03:20:51,false,neodev,1.0,36296012,FRA,A2,Lanvallay,86.214.249.218,3,4,4,4,2,,,,,,af,good image,Is more cool,Is Bether,better readable,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411390,4/26/2016 03:24:11,1968841889,4/26/2016 03:23:08,false,clixsense,1.0,31044862,IDN,07,Bekonang,202.67.40.13,3,4,4,4,4,,,,,,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411390,4/26/2016 03:24:46,1968842247,4/26/2016 03:23:13,false,clixsense,1.0,33827460,VEN,25,Caracas,190.201.140.81,3,2,3,2,3,,,,,,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411390,4/26/2016 03:24:57,1968842337,4/26/2016 03:23:13,false,clixsense,1.0,31662254,BIH,01,Tuzla,217.71.51.62,3,3,4,2,1,,,,,,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411390,4/26/2016 03:25:19,1968842529,4/26/2016 03:23:23,false,clixsense,1.0,27122921,PHL,K1,Las Piñas City,121.54.44.145,3,3,3,3,3,,,,,,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411390,4/26/2016 03:55:36,1968860137,4/26/2016 03:53:00,false,elite,1,29752722,VEN,25,Caracas,200.84.75.183,5,5,5,3,3,,,,,,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411391,4/26/2016 03:17:35,1968838020,4/26/2016 03:16:43,false,neodev,1.0,35002805,VNM,44,Hanoi,115.76.186.79,3,3,3,4,3,,,,,,modern,better,clear,Simple but good,Nice design,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411391,4/26/2016 03:20:40,1968839660,4/26/2016 03:19:26,false,clixsense,1.0,26312996,IDN,30,Bandung,36.72.184.123,4,3,4,3,3,,,,,,modern,better,clear,Simple but good,Nice design,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411391,4/26/2016 03:21:44,1968840241,4/26/2016 03:20:10,false,clixsense,1.0,31662254,BIH,01,Tuzla,217.71.51.62,2,4,3,3,2,,,,,,modern,better,clear,Simple but good,Nice design,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411391,4/26/2016 03:22:07,1968840566,4/26/2016 03:20:06,false,clixsense,1.0,24287706,TWN,03,Taipei,175.184.246.138,4,4,4,5,5,,,,,,modern,better,clear,Simple but good,Nice design,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411391,4/26/2016 03:23:09,1968841243,4/26/2016 03:20:51,false,clixsense,1.0,33827460,VEN,25,Caracas,190.201.140.81,3,2,3,2,3,,,,,,modern,better,clear,Simple but good,Nice design,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411392,4/26/2016 03:13:23,1968835755,4/26/2016 03:12:40,false,neodev,1.0,35002805,VNM,44,Hanoi,115.76.186.79,3,2,3,4,4,,,,,,i like flags,I like universities,perfect image,not blurry,itå«s beautiful,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411392,4/26/2016 03:15:59,1968837205,4/26/2016 03:13:59,false,clixsense,1.0,33827460,VEN,25,Caracas,190.201.140.81,3,2,4,3,4,,,,,,i like flags,I like universities,perfect image,not blurry,itå«s beautiful,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411392,4/26/2016 03:16:31,1968837501,4/26/2016 03:12:57,false,clixsense,1.0,36353086,IDN,04,Jakarta,115.178.214.49,3,4,3,4,3,,,,,,i like flags,I like universities,perfect image,not blurry,itå«s beautiful,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411392,4/26/2016 03:18:23,1968838424,4/26/2016 03:14:39,false,clixsense,1.0,33468308,PAK,08,Islamabad,119.154.96.250,1,3,4,2,2,,,,,,i like flags,I like universities,perfect image,not blurry,itå«s beautiful,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411392,4/26/2016 03:46:24,1968855617,4/26/2016 03:43:11,false,clixsense,1.0,34458639,IND,07,New Delhi,120.59.58.1,2,2,2,3,2,,,,,,i like flags,I like universities,perfect image,not blurry,itå«s beautiful,940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN
940411393,4/26/2016 03:15:23,1968836911,4/26/2016 03:14:55,false,neodev,1.0,35002805,VNM,44,Hanoi,115.76.186.79,3,4,3,3,3,,,,,,sde,1,good image,Is Bether,Is more cool,940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0
940411393,4/26/2016 03:18:33,1968838508,4/26/2016 03:17:13,false,clixsense,1.0,33827460,VEN,25,Caracas,190.201.140.81,3,2,3,2,3,,,,,,sde,1,good image,Is Bether,Is more cool,940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0
940411393,4/26/2016 03:28:04,1968844271,4/26/2016 03:16:55,false,clixsense,1.0,37291651,VEN,25,Caracas,190.74.90.63,3,1,5,4,5,,,,,,sde,1,good image,Is Bether,Is more cool,940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0
940411393,4/26/2016 03:52:15,1968858362,4/26/2016 03:50:57,false,clixsense,1.0,27122921,PHL,K1,Las Piñas City,121.54.44.145,3,1,4,4,4,,,,,,sde,1,good image,Is Bether,Is more cool,940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0
940411393,4/26/2016 03:52:53,1968858806,4/26/2016 03:50:59,false,clixsense,1.0,34291653,IND,21,Sambalpur,117.214.91.180,3,3,3,3,3,,,,,,sde,1,good image,Is Bether,Is more cool,940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0
