img_id,img_url,img_comment1,img_comment2,img_comment3,img_comment4,img_comment5
940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN,af,good image,Is more cool,Is Bether,better readable
940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN,i like it,best,i like more,2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTYNh2V7hXtYMzAUUDLt42PfIfIa0iYzrHbMmQAmPUSxE1RMIVi
940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN,modern,better,clear,Simple but good,Nice design
940260573,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_6yS3lxKvPz5S4B_L1-IE2nh1JUC3Dmf2isNIt3URjg9yW6ZN,i like flags,I like universities,perfect image,not blurry,itå«s beautiful
940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0,sde,1,good image,Is Bether,Is more cool
940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0,i like it,better,i like more,more powerful looking,more clear
940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0,not blurry,is the best,Nice,Imagen caida,broken both images
940260596,https://www.dropbox.com/s/7pjauhr569rpgac/Screen%20Shot%202016-04-25%20at%201.56.13%20AM.png?dl=0,perfect image,better quallity,I like the logo,very original,most beautiful
940260567,http://www.dolphin.upenn.edu/japan/pics/grouppic.png,e,clear image,Is Bether,Is more cool,better
940260567,http://www.dolphin.upenn.edu/japan/pics/grouppic.png,hhyyhy,i like more,better,more happier,it express friendship
940260567,http://www.dolphin.upenn.edu/japan/pics/grouppic.png,happy,funny,it's a funny picture and looks nice,more people,Interesting
940260567,http://www.dolphin.upenn.edu/japan/pics/grouppic.png,Clear good quality,ok,Actually they are the same,is the best,happier
940260590,http://www.freelargeimages.com/wp-content/uploads/2014/11/Happy_birthday.jpg,wqe,good image,Is more cool,Is Bether,i like it
940260590,http://www.freelargeimages.com/wp-content/uploads/2014/11/Happy_birthday.jpg,better,less flashy,i like more,More designing,more happy
940260590,http://www.freelargeimages.com/wp-content/uploads/2014/11/Happy_birthday.jpg,prettier,it s more happy,i like the first one for myself it means happiness,More colorful and enjoyable,Simple.
940260590,http://www.freelargeimages.com/wp-content/uploads/2014/11/Happy_birthday.jpg,it looks good,perfect image,Better 3D design,is the best,better quallity
940260577,https://upload.wikimedia.org/wikipedia/commons/e/e3/Olympic_flame_at_opening_ceremony.jpg,Is Bether,1,better vew,i like it,It is much larger.
